l:80,t:30	
l:64,t:30	
l:82,t:30	
l:68,t:30	
l:64,t:30	
l:60,t:30	
l:57,t:30	
l:74,t:30	
l:57,t:30	
l:69,t:30	
l:64,t:30	
l:61,t:30	
l:49,t:30	
l:63,t:30	
l:52,t:30	
l:64,t:30	
l:55,t:30	
l:63,t:30	
l:53,t:30	
l:57,t:30	
l:58,t:30	
l:62,t:30	
l:48,t:30	
l:74,t:30	
l:53,t:30	
l:72,t:30	
l:62,t:30	
l:53,t:30	
l:53,t:30	
l:62,t:30	
l:54,t:30	
l:59,t:30	
l:43,t:30	
l:47,t:30	
l:61,t:30	
l:42,t:30	
l:50,t:30	
l:44,t:30	
l:49,t:30	
l:52,t:30	
l:62,t:30	
l:48,t:30	
l:58,t:30	
l:73,t:30	
l:52,t:30	
l:56,t:30	
l:65,t:30	
l:47,t:30	
l:61,t:30	
l:63,t:30	
l:46,t:30	
l:60,t:30	
l:50,t:30	
l:57,t:30	
l:57,t:30	
l:57,t:30	
l:60,t:30	
l:50,t:30	
l:43,t:30	
l:56,t:30	
l:54,t:30	
l:44,t:30	
l:60,t:30	
l:48,t:30	
l:54,t:30	
l:47,t:30	
l:70,t:30	
l:58,t:30	
l:34,t:30	
l:63,t:30	
l:50,t:30	
l:56,t:30	
l:62,t:30	
l:48,t:30	
l:55,t:30	
l:64,t:30	
l:67,t:30	
l:49,t:30	
l:59,t:30	
l:57,t:30	
l:49,t:30	
l:64,t:30	
l:55,t:30	
l:56,t:30	
l:71,t:30	
l:47,t:30	
l:66,t:30	
l:63,t:30	
l:58,t:30	
l:67,t:30	
l:52,t:30	
l:59,t:30	
l:67,t:30	
l:54,t:30	
l:58,t:30	
l:67,t:30	
l:63,t:30	
l:84,t:30	
l:67,t:30	
l:56,t:30	
l:67,t:30	
l:53,t:30	
l:69,t:30	
l:52,t:30	
l:61,t:30	
l:65,t:30	
l:57,t:30	
l:70,t:30	
l:53,t:30	
l:67,t:30	
l:69,t:30	
l:59,t:30	
l:75,t:30	
l:58,t:30	
l:58,t:30	
l:53,t:30	
l:71,t:30	
l:63,t:30	
l:62,t:30	
l:76,t:30	
l:57,t:30	
l:58,t:30	
